101123122037820,BANKNIFTY 23 Dec 20 39500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039500CE,10,11,37820,BANKNIFTY,26009,39500.0,CE,101000000026009,
101123122037821,BANKNIFTY 23 Dec 20 39500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039500PE,10,11,37821,BANKNIFTY,26009,39500.0,PE,101000000026009,
101123122037828,BANKNIFTY 23 Dec 20 39600 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039600CE,10,11,37828,BANKNIFTY,26009,39600.0,CE,101000000026009,
101123122037829,BANKNIFTY 23 Dec 20 39600 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039600PE,10,11,37829,BANKNIFTY,26009,39600.0,PE,101000000026009,
101123122037836,BANKNIFTY 23 Dec 20 39700 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039700CE,10,11,37836,BANKNIFTY,26009,39700.0,CE,101000000026009,
101123122037837,BANKNIFTY 23 Dec 20 39700 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039700PE,10,11,37837,BANKNIFTY,26009,39700.0,PE,101000000026009,
101123122037840,BANKNIFTY 23 Dec 20 39800 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039800CE,10,11,37840,BANKNIFTY,26009,39800.0,CE,101000000026009,
101123122037841,BANKNIFTY 23 Dec 20 39800 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039800PE,10,11,37841,BANKNIFTY,26009,39800.0,PE,101000000026009,
101123122037842,BANKNIFTY 23 Dec 20 39900 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039900CE,10,11,37842,BANKNIFTY,26009,39900.0,CE,101000000026009,
101123122037843,BANKNIFTY 23 Dec 20 39900 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039900PE,10,11,37843,BANKNIFTY,26009,39900.0,PE,101000000026009,
101123122037852,BANKNIFTY 23 Dec 20 40000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2040000CE,10,11,37852,BANKNIFTY,26009,40000.0,CE,101000000026009,
101123122037853,BANKNIFTY 23 Dec 20 40000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2040000PE,10,11,37853,BANKNIFTY,26009,40000.0,PE,101000000026009,
101123122037856,BANKNIFTY 23 Dec 20 40100 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2040100CE,10,11,37856,BANKNIFTY,26009,40100.0,CE,101000000026009,
101123122037857,BANKNIFTY 23 Dec 20 40100 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2040100PE,10,11,37857,BANKNIFTY,26009,40100.0,PE,101000000026009,
101123122037862,BANKNIFTY 23 Dec 20 40200 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2040200CE,10,11,37862,BANKNIFTY,26009,40200.0,CE,101000000026009,
101123122037863,BANKNIFTY 23 Dec 20 40200 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2040200PE,10,11,37863,BANKNIFTY,26009,40200.0,PE,101000000026009,
101123122037864,BANKNIFTY 23 Dec 20 40300 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2040300CE,10,11,37864,BANKNIFTY,26009,40300.0,CE,101000000026009,
